,age,fee_cleaned,Potential,Value(MGBP),Wage(kGBP),International Reputation,Weak Foot,Skill Moves,year of contact,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Overall Rating
0,22,37.35,89.0,30.5,100.0,2.0,3.0,3.0,5.0,67.0,75.0,82.0,85.0,62.0,77.0,66.0,73.0,82.0,80.0,77.0,69.0,77.0,82.0,73.0,82.0,89.0,86.0,77.0,78.0,81.0,76.0,79.0,79.0,70.0,74.0,78.0,71.0,7.0,10.0,14.0,9.0,14.0,81.0
1,21,18.9,87.0,29.5,90.0,2.0,3.0,4.0,6.0,80.0,76.0,52.0,77.0,77.0,87.0,84.0,70.0,63.0,82.0,94.0,92.0,87.0,81.0,84.0,77.0,75.0,76.0,61.0,73.0,36.0,23.0,79.0,74.0,70.0,75.0,15.0,15.0,5.0,3.0,5.0,3.0,5.0,82.0
2,21,18.0,90.0,36.5,100.0,2.0,3.0,2.0,5.0,30.0,20.0,85.0,78.0,29.0,42.0,28.0,30.0,61.0,63.0,51.0,78.0,33.0,81.0,32.0,77.0,38.0,65.0,94.0,62.0,82.0,82.0,26.0,30.0,32.0,72.0,86.0,83.0,15.0,7.0,14.0,7.0,15.0,82.0
3,20,0.045,82.0,2,9.0,1.0,3.0,3.0,4.0,50.0,36.0,40.0,80.0,42.0,68.0,51.0,53.0,74.0,78.0,68.0,68.0,82.0,67.0,81.0,51.0,57.0,68.0,30.0,37.0,33.0,58.0,49.0,73.0,51.0,70.0,47.0,36.0,11.0,11.0,9.0,11.0,13.0,68.0
4,26,18.0,83.0,25.5,80.0,2.0,4.0,4.0,4.0,64.0,63.0,34.0,84.0,58.0,86.0,76.0,64.0,79.0,83.0,86.0,75.0,91.0,84.0,81.0,70.0,67.0,88.0,47.0,73.0,64.0,75.0,76.0,82.0,64.0,83.0,64.0,58.0,13.0,11.0,7.0,6.0,16.0,81.0
5,20,14.4,85.0,11,40.0,1.0,3.0,3.0,5.0,66.0,79.0,58.0,68.0,69.0,81.0,52.0,38.0,56.0,78.0,84.0,83.0,77.0,66.0,74.0,72.0,67.0,68.0,64.0,56.0,38.0,22.0,81.0,64.0,67.0,61.0,24.0,17.0,14.0,6.0,8.0,12.0,6.0,75.0
6,22,13.5,85.0,20,60.0,2.0,4.0,4.0,5.0,74.0,70.0,52.0,75.0,60.0,86.0,75.0,70.0,66.0,83.0,94.0,92.0,93.0,77.0,90.0,81.0,78.0,79.0,57.0,72.0,64.0,38.0,74.0,70.0,71.0,72.0,39.0,28.0,11.0,13.0,8.0,12.0,8.0,80.0
7,20,6.3,81.0,6,40.0,1.0,3.0,3.0,4.0,64.0,60.0,57.0,76.0,57.0,73.0,64.0,47.0,68.0,74.0,75.0,73.0,74.0,73.0,69.0,64.0,67.0,82.0,63.0,65.0,75.0,72.0,65.0,69.0,54.0,71.0,73.0,70.0,9.0,12.0,12.0,13.0,12.0,72.0
8,23,4.5,81.0,6.5,30.0,1.0,3.0,1.0,4.0,13.0,10.0,18.0,25.0,19.0,18.0,14.0,20.0,22.0,24.0,43.0,41.0,60.0,71.0,57.0,22.0,71.0,24.0,73.0,14.0,30.0,13.0,13.0,65.0,20.0,30.0,18.0,12.0,79.0,73.0,68.0,71.0,78.0,74.0
9,20,13.68,84.0,3.9,30.0,1.0,3.0,3.0,5.0,63.0,67.0,44.0,65.0,48.0,73.0,62.0,38.0,55.0,69.0,85.0,94.0,67.0,66.0,66.0,70.0,50.0,62.0,79.0,53.0,59.0,34.0,64.0,57.0,42.0,64.0,38.0,27.0,13.0,11.0,7.0,7.0,15.0,69.0
10,22,7.2,82.0,9.5,30.0,1.0,3.0,3.0,5.0,40.0,77.0,76.0,61.0,71.0,68.0,64.0,29.0,45.0,71.0,66.0,76.0,67.0,75.0,58.0,74.0,70.0,77.0,75.0,63.0,81.0,29.0,79.0,58.0,64.0,63.0,27.0,17.0,12.0,11.0,7.0,11.0,14.0,74.0
11,27,22.5,81.0,18.5,70.0,3.0,2.0,5.0,4.0,82.0,77.0,69.0,78.0,74.0,87.0,83.0,75.0,75.0,84.0,76.0,78.0,77.0,81.0,69.0,78.0,68.0,81.0,81.0,82.0,75.0,54.0,78.0,78.0,71.0,74.0,21.0,23.0,9.0,5.0,6.0,5.0,14.0,81.0
12,23,18.0,83.0,14,50.0,2.0,4.0,3.0,5.0,64.0,78.0,56.0,77.0,79.0,82.0,66.0,62.0,62.0,82.0,82.0,79.0,80.0,77.0,75.0,85.0,59.0,68.0,69.0,74.0,55.0,39.0,78.0,75.0,59.0,67.0,33.0,29.0,8.0,12.0,10.0,10.0,9.0,79.0
13,27,10.8,83.0,21,70.0,3.0,4.0,2.0,4.0,49.0,28.0,81.0,79.0,55.0,64.0,44.0,33.0,69.0,72.0,73.0,83.0,64.0,81.0,61.0,63.0,80.0,68.0,78.0,36.0,72.0,80.0,35.0,59.0,48.0,78.0,84.0,82.0,11.0,8.0,11.0,12.0,15.0,80.0
14,21,10.8,87.0,18.5,50.0,2.0,4.0,4.0,5.0,67.0,60.0,42.0,86.0,49.0,82.0,58.0,48.0,79.0,82.0,78.0,69.0,87.0,74.0,78.0,72.0,70.0,85.0,58.0,78.0,68.0,64.0,65.0,82.0,55.0,60.0,65.0,59.0,14.0,7.0,9.0,12.0,11.0,78.0
15,17,7.05,87.0,1.8,15.0,1.0,3.0,4.0,3.0,52.0,58.0,38.0,64.0,54.0,79.0,63.0,48.0,54.0,73.0,86.0,83.0,84.0,59.0,79.0,56.0,46.0,64.0,49.0,48.0,39.0,24.0,59.0,58.0,44.0,55.0,33.0,36.0,7.0,11.0,10.0,11.0,13.0,67.0
16,23,6.3,81.0,7.5,40.0,2.0,4.0,2.0,5.0,77.0,36.0,49.0,78.0,41.0,69.0,39.0,32.0,63.0,75.0,86.0,92.0,74.0,67.0,70.0,44.0,84.0,77.0,67.0,35.0,62.0,68.0,56.0,48.0,39.0,58.0,74.0,73.0,10.0,13.0,10.0,11.0,12.0,74.0
17,20,11.7,85.0,9.5,15.0,1.0,3.0,4.0,5.0,66.0,65.0,41.0,65.0,65.0,86.0,56.0,38.0,47.0,80.0,89.0,84.0,95.0,66.0,93.0,65.0,65.0,64.0,43.0,60.0,55.0,28.0,67.0,62.0,49.0,64.0,21.0,29.0,13.0,10.0,7.0,13.0,6.0,74.0
18,31,10.8,76.0,7,15.0,2.0,3.0,3.0,3.0,68.0,75.0,83.0,69.0,73.0,72.0,68.0,48.0,55.0,72.0,74.0,80.0,73.0,77.0,68.0,76.0,89.0,71.0,72.0,64.0,58.0,43.0,78.0,65.0,72.0,78.0,33.0,28.0,9.0,14.0,13.0,14.0,6.0,75.0
19,21,3.6,77.0,3.5,10.0,1.0,3.0,2.0,4.0,70.0,53.0,58.0,75.0,39.0,70.0,58.0,35.0,66.0,73.0,63.0,65.0,67.0,71.0,62.0,58.0,64.0,76.0,59.0,49.0,73.0,72.0,58.0,62.0,49.0,63.0,73.0,72.0,13.0,11.0,10.0,11.0,8.0,71.0
20,27,7.2,77.0,7.5,30.0,2.0,3.0,2.0,5.0,66.0,40.0,77.0,73.0,38.0,64.0,64.0,66.0,77.0,71.0,52.0,53.0,61.0,76.0,59.0,72.0,68.0,79.0,79.0,66.0,77.0,74.0,57.0,70.0,56.0,71.0,77.0,76.0,14.0,8.0,9.0,13.0,10.0,75.0
21,24,2.7,78.0,8,30.0,1.0,2.0,2.0,3.0,72.0,48.0,54.0,75.0,49.0,78.0,59.0,42.0,63.0,75.0,88.0,86.0,74.0,75.0,71.0,63.0,60.0,76.0,74.0,40.0,68.0,73.0,66.0,65.0,56.0,71.0,75.0,75.0,13.0,9.0,15.0,7.0,14.0,75.0
22,19,2.43,84.0,4,10.0,1.0,3.0,2.0,4.0,28.0,23.0,58.0,70.0,30.0,45.0,37.0,33.0,73.0,70.0,69.0,66.0,65.0,69.0,60.0,47.0,55.0,67.0,75.0,24.0,68.0,73.0,32.0,34.0,35.0,63.0,75.0,72.0,11.0,13.0,14.0,7.0,9.0,70.0
23,25,2.7,81.0,9.5,20.0,2.0,4.0,2.0,4.0,65.0,60.0,82.0,76.0,53.0,64.0,65.0,66.0,74.0,70.0,62.0,52.0,67.0,75.0,61.0,76.0,86.0,71.0,77.0,65.0,72.0,76.0,66.0,68.0,78.0,70.0,77.0,76.0,8.0,9.0,11.0,10.0,15.0,76.0
24,26,2.25,71.0,2.5,15.0,1.0,3.0,3.0,3.0,68.0,58.0,51.0,73.0,70.0,76.0,70.0,64.0,62.0,74.0,76.0,74.0,81.0,68.0,80.0,66.0,60.0,65.0,59.0,66.0,60.0,43.0,67.0,70.0,59.0,60.0,32.0,28.0,10.0,14.0,8.0,12.0,14.0,71.0
25,20,0.045,78.0,1.2,4.0,1.0,4.0,2.0,3.0,36.0,33.0,59.0,67.0,39.0,47.0,38.0,33.0,59.0,59.0,54.0,55.0,53.0,62.0,58.0,43.0,73.0,68.0,76.0,26.0,69.0,63.0,37.0,46.0,35.0,49.0,68.0,67.0,12.0,9.0,6.0,7.0,6.0,66.0
26,23,15.3,82.0,13.5,40.0,2.0,3.0,2.0,4.0,73.0,55.0,83.0,74.0,53.0,62.0,58.0,51.0,74.0,72.0,55.0,72.0,58.0,76.0,49.0,78.0,65.0,74.0,81.0,56.0,68.0,79.0,55.0,68.0,67.0,68.0,80.0,78.0,12.0,10.0,6.0,8.0,10.0,78.0
27,20,10.8,86.0,13.5,30.0,1.0,3.0,2.0,5.0,64.0,56.0,65.0,82.0,28.0,77.0,60.0,41.0,79.0,79.0,69.0,79.0,68.0,73.0,65.0,69.0,65.0,79.0,80.0,45.0,81.0,78.0,63.0,76.0,39.0,73.0,78.0,65.0,12.0,12.0,7.0,13.0,11.0,78.0
28,24,5.4,80.0,13,30.0,1.0,3.0,4.0,4.0,83.0,73.0,47.0,73.0,70.0,85.0,84.0,80.0,60.0,85.0,78.0,70.0,83.0,72.0,79.0,81.0,52.0,73.0,64.0,75.0,52.0,45.0,74.0,70.0,63.0,72.0,31.0,30.0,10.0,12.0,8.0,8.0,14.0,78.0
29,30,1.8,76.0,7.5,40.0,2.0,3.0,3.0,2.0,75.0,73.0,73.0,72.0,74.0,76.0,79.0,79.0,59.0,77.0,69.0,76.0,65.0,73.0,84.0,83.0,81.0,72.0,91.0,71.0,86.0,27.0,73.0,62.0,75.0,74.0,51.0,24.0,13.0,13.0,12.0,8.0,11.0,75.0
30,17,0.225,84.0,3.5,15.0,1.0,3.0,3.0,6.0,74.0,59.0,49.0,77.0,63.0,75.0,85.0,73.0,73.0,73.0,77.0,66.0,79.0,62.0,74.0,74.0,59.0,55.0,45.0,68.0,57.0,46.0,60.0,73.0,61.0,62.0,59.0,55.0,9.0,14.0,11.0,8.0,15.0,71.0
31,26,5.4,74.0,6,30.0,2.0,4.0,2.0,4.0,79.0,78.0,71.0,73.0,74.0,66.0,54.0,52.0,56.0,66.0,69.0,79.0,62.0,78.0,60.0,81.0,82.0,88.0,81.0,76.0,79.0,50.0,78.0,72.0,50.0,64.0,56.0,48.0,14.0,14.0,13.0,15.0,11.0,75.0
32,25,4.5,77.0,7,50.0,2.0,2.0,2.0,3.0,61.0,22.0,72.0,70.0,30.0,52.0,59.0,34.0,65.0,63.0,68.0,74.0,61.0,63.0,55.0,47.0,79.0,78.0,80.0,43.0,75.0,72.0,57.0,58.0,49.0,55.0,77.0,79.0,14.0,6.0,10.0,16.0,7.0,74.0
33,25,2.7,77.0,7.5,40.0,2.0,3.0,2.0,3.0,75.0,49.0,46.0,76.0,30.0,76.0,68.0,44.0,54.0,76.0,78.0,69.0,77.0,77.0,77.0,54.0,75.0,77.0,59.0,40.0,75.0,70.0,68.0,59.0,49.0,74.0,78.0,77.0,12.0,13.0,14.0,10.0,12.0,76.0
34,20,1.8,81.0,1.7,10.0,1.0,4.0,3.0,4.0,65.0,45.0,52.0,75.0,63.0,65.0,58.0,48.0,71.0,70.0,75.0,78.0,66.0,60.0,69.0,62.0,63.0,52.0,58.0,64.0,57.0,58.0,61.0,67.0,54.0,64.0,59.0,50.0,6.0,12.0,9.0,7.0,8.0,67.0
35,22,17.1,84.0,16.5,40.0,2.0,3.0,4.0,4.0,65.0,62.0,51.0,83.0,67.0,83.0,69.0,62.0,76.0,81.0,66.0,68.0,76.0,76.0,72.0,83.0,54.0,76.0,71.0,79.0,74.0,78.0,68.0,82.0,80.0,79.0,71.0,60.0,9.0,10.0,16.0,9.0,15.0,78.0
36,27,11.25,79.0,13,50.0,2.0,4.0,4.0,3.0,75.0,76.0,49.0,77.0,67.0,82.0,83.0,80.0,74.0,81.0,88.0,86.0,83.0,77.0,78.0,76.0,66.0,68.0,58.0,77.0,52.0,37.0,76.0,74.0,75.0,74.0,30.0,27.0,5.0,11.0,15.0,9.0,9.0,79.0
37,20,7.2,86.0,15.5,40.0,2.0,3.0,4.0,4.0,69.0,67.0,46.0,78.0,64.0,86.0,70.0,54.0,75.0,83.0,87.0,79.0,88.0,76.0,83.0,67.0,57.0,68.0,32.0,64.0,46.0,39.0,71.0,75.0,52.0,71.0,50.0,32.0,15.0,13.0,10.0,13.0,6.0,78.0
38,28,4.05,78.0,8,40.0,2.0,2.0,2.0,3.0,82.0,50.0,68.0,77.0,47.0,73.0,61.0,70.0,74.0,74.0,66.0,77.0,65.0,76.0,60.0,75.0,75.0,79.0,76.0,64.0,76.0,75.0,66.0,60.0,70.0,74.0,80.0,79.0,12.0,14.0,7.0,6.0,10.0,77.0
39,21,0.72,80.0,2.9,15.0,1.0,3.0,2.0,4.0,35.0,69.0,72.0,59.0,65.0,64.0,64.0,33.0,42.0,68.0,65.0,67.0,55.0,65.0,58.0,71.0,67.0,59.0,85.0,61.0,64.0,22.0,70.0,54.0,55.0,59.0,21.0,17.0,11.0,13.0,14.0,14.0,15.0,69.0
40,27,0.675,72.0,1.8,15.0,1.0,3.0,1.0,4.0,11.0,11.0,23.0,32.0,14.0,12.0,16.0,14.0,22.0,22.0,38.0,37.0,43.0,68.0,35.0,24.0,69.0,25.0,74.0,15.0,44.0,18.0,19.0,33.0,21.0,37.0,12.0,15.0,74.0,66.0,58.0,72.0,73.0,70.0
